Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
AAN,Aaron's Holdings CO Inc,3676641000,13.99,3.91,31470000,1.66,0.16,0.29%
AAXN,Axon Inc,6563419000,0,-0.55,880000,0.55,0,0.00%
ACC,American Campus Communities Inc,5127125000,17.04,0.87,84970000,0.97,1.88,5.05%
ACHC,Acadia Healthcr Company,2578147000,14.56,1.99,108920000,1.39,0,0.00%
ACIW,Aci Worldwide Inc,3423000000,36.2,0.81,67060000,1.35,0,0.00%
ACM,Aecom Technology Corp,7031455000,18.21,2.35,-261050000,1.65,0,0.00%
ADNT,Adient Plc,2087980000,0,-0.57,-491000000,3.29,0,0.00%
ADS,Alliance Data Systems Corp,2483089000,3.79,11.55,278000000,2.52,0.84,1.61%
AEO,American Eagle Outfitters,2279084000,0,-0.02,191260000,1.15,0,0.00%
AFG,American Financial Group,6585605000,9.68,7.4,897000000,0.88,2,2.69%
AGCO,Agco Corp,5783470000,20.49,3.73,125200000,1.14,0.64,0.83%
ALE,Allete Inc,2683804000,16.43,3.19,185600000,0.33,2.47,4.77%
AM,Antero Midstream Corp,2854816000,5.78,1.19,-355110000,3.69,1.23,20.53%
AMCX,Amc Networks Cl A,1109015000,2.66,7.88,380490000,0.87,0,0.00%
AMED,Amedisys Inc,8144994000,44.66,4.48,126830000,0.9,0,0.00%
AMG,Affiliated Managers Group,3468665000,5.41,13.58,15700000,1.43,0.04,0.05%
AN,Autonation Inc,5008305000,9.5,6.01,450000000,1.65,0,0.00%
ARW,Arrow Electronics,6016092000,11.56,6.62,-204090000,1.46,0,0.00%
ARWR,Arrowhead Pharma,5942142000,0,-0.25,67970000,1.64,0,0.00%
ASB,Associated Banc-Corp,2096264000,11.01,1.23,326790000,1.25,0.72,5.28%
ASGN,On Assignment,3533250000,13.76,4.84,174700000,2.34,0,0.00%
ASH,Ashland Global Holdings Inc,4260182000,26.62,2.58,505000000,1.41,1.1,1.56%
ATGE,Adtalem Global Education Inc,1244927000,10.27,2.3,-85330000,1.07,0,0.00%
ATR,Aptargroup,7281693000,32.47,3.46,242200000,0.64,1.44,1.28%
AVNS,Avanos Medical Inc,1747781000,38.82,0.93,-45900000,1.02,0,0.00%
AVNT,Avient Corp,2854663000,19.75,1.54,588600000,1.74,0.81,2.59%
AVT,Avnet Inc,2437296000,19.46,1.52,-31080000,1.37,0.84,3.41%
AYI,Acuity Brands Inc,3360122000,11.98,7.51,248300000,1.41,0.52,0.58%
BC,Brunswick Corp,5036287000,16.65,3.87,-131000000,2.02,0.96,1.51%
BCO,Brink's Company,2170382000,13.47,3.26,29000000,1.23,0.6,1.40%
BDC,Belden Inc,1398519000,10.36,3.51,-377020000,1.72,0.2,0.64%
BHF,Brighthouse Financial Inc,2959062000,3.86,7.8,-740000000,1.75,0,0.00%
BJ,Bj's Wholesale Club Holdings Inc,5439093000,17.34,2.27,187180000,0.45,0,0.00%
BKH,Black Hills Corp,3607837000,16.72,3.49,199310000,0.29,2.14,3.72%
BLD,Topbuild Corp,5209596000,26.63,6.06,191000000,1.46,0,0.00%
BLDR,Builders Firstsource,3502227000,14.32,2.13,221810000,2.53,0,0.00%
BLKB,Blackbaud Inc,2553113000,40.39,1.35,11910000,1.17,0,0.00%
BOH,Bank of Hawaii Corp,2397333000,13.68,4.59,225910000,1.22,2.68,4.48%
BRO,Brown & Brown,12345204000,26.77,1.52,398510000,0.68,0.34,0.78%
BRX,Brixmor Property Group Inc,3267221000,6.22,0.71,274770000,1.39,0,0.00%
BXS,Bancorpsouth Inc,2371326000,10.03,2.26,234260000,1.42,0.74,3.20%
BYD,Boyd Gaming Corp,3493097000,0,-0.11,157640000,2.3,0,0.00%
CABO,Cable One Inc,10365253000,42.71,40.31,178580000,0.41,10,0.58%
CACI,Caci International,5108902000,14.61,12.61,321480000,1.24,0,0.00%
CAR,Avis Budget Group,2556815000,0,-3.31,302000000,2.6,0,0.00%
CASY,Casey's General Stor,6303153000,21.5,8.03,263850000,0.85,1.28,0.75%
CATY,Cathay Genl Bncp,1854350000,8.16,3.02,279140000,1.47,1.24,5.32%
CBRL,Cracker Barrel,2680842000,49.99,2.19,-32480000,1.24,0,0.00%
CBSH,Commerce Bancshares,6950736000,21.68,2.82,421230000,1.01,1.08,1.73%
CBT,Cabot Corp,2143298000,15.22,2.44,157000000,1.69,1.4,3.69%
CC,Chemours Company,3389914000,9.71,2.04,-52000000,2.32,1,4.84%
CCMP,Cabot Microelectron,4164453000,19.48,7.15,39220000,1.22,1.76,1.23%
CDAY,Ceridian Hcm Holding Inc,12959400000,385.3,0.23,78700000,1.47,0,0.00%
CDK,Cdk Global Inc,5192232000,13.93,3.04,207500000,1.36,0.6,1.40%
CFR,Cullen/Frost Bankers,4311948000,15.81,4.21,443600000,1.57,2.84,4.13%
CFX,Colfax Corp,3223732000,17.94,1.58,-527650000,1.89,0,0.00%
CGNX,Cognex Cp,11708360000,61.44,0.81,203870000,1.68,0.22,0.33%
CHDN,Churchill Downs IN,6047991000,141.2,0.49,137500000,1.29,0.58,0.38%
CHE,Chemed Inc,7538120000,29.97,15.77,219920000,0.69,1.36,0.29%
CHH,Choice Hotels International,4792395000,26.43,3.18,222880000,1.5,0,0.00%
CHX,Championx Corp,1598472000,0,0.01,52160000,3.41,0,0.00%
CIEN,Ciena Corp,5989160000,14.78,2.6,253430000,0.89,0,0.00%
CIT,Cit Group Inc,2854963000,0,-0.94,529900000,1.85,1.4,4.83%
CLGX,Corelogic,6093369000,22.76,3.35,49380000,1.25,1.32,1.72%
CLH,Clean Harbors,2962724000,27.51,1.94,97740000,1.5,0,0.00%
CMC,Commercial Metals Company,2440628000,7.45,2.64,279500000,1.4,0.48,2.35%
CMD,Cantel Medical,2039424000,27.9,1.66,13710000,1.39,0,0.00%
CMP,Compass Minerals Intl Inc,2053273000,20.87,2.83,62500000,1.64,2.88,4.76%
CNK,Cinemark Holdings Inc,990815000,0,-1.11,191390000,1.93,0,0.00%
CNO,Cno Financial Group,2514095000,9.02,1.93,409400000,1.36,0.48,2.71%
CNX,CNX Resources Corp,1840582000,25.5,0.38,-80730000,1.55,0,0.00%
COHR,Coherent Inc,3071295000,83.91,1.46,53830000,1.63,0,0.00%
COLM,Columbia Sprtswr,6368165000,35.36,2.65,330490000,0.56,0,0.00%
CONE,Cyrusone Inc,8489655000,18.16,0.7,41400000,0.54,2.04,2.81%
COR,Coresite Realty Corp,5124376000,22.82,1.98,75840000,0.25,4.88,4.05%
COTY,Coty Inc,2279942000,0,-0.2,-1006700000,1.14,0,0.00%
CPT,Camden Property Trust,8551369000,17.74,1.99,219620000,0.7,3.32,3.78%
CR,Crane Company,2928572000,11.36,4.77,133300000,1.48,1.72,3.41%
CREE,Cree Inc,6935149000,0,-0.94,-191700000,1.12,0,0.00%
CRI,Carter's Inc,3651591000,18.38,4.5,263800000,1.16,0,0.00%
CRL,Charles River Laboratories Intl,11373510000,31.18,7.12,252020000,1.14,0,0.00%
CRUS,Cirrus Logic Inc,4065321000,19.45,3.43,159500000,0.8,0,0.00%
CSL,Carlisle Companies Inc,6505300000,18.21,6.62,472800000,0.84,2.1,1.72%
CUZ,Cousins Properties Inc,3818198000,8.67,2.28,150420000,0.92,1.2,4.67%
CVLT,Commvault Systems,1863566000,100,0.55,-5650000,0.74,0,0.00%
CW,Curtiss-Wright Corp,3499535000,12.65,6.72,307580000,1.32,0.68,0.81%
CZR,Caesars Entertainment Inc,7764485000,0,-0.4,81000000,2.81,0,0.00%
DAN,Dana Inc,2095004000,17.45,1.19,226000000,2.65,0,0.00%
DAR,Darling International Inc,7137621000,21.67,1.97,312600000,1.26,0,0.00%
DCI,Donaldson Company,6032881000,23.49,2.01,257000000,1.38,0.84,1.76%
DECK,Deckers Outdoor Corp,7222971000,24.68,10.14,276140000,0.81,0,0.00%
DEI,Douglas Emmett,4119559000,11.57,1.87,363710000,0.67,1.12,4.77%
DKS,Dick's Sporting Goods Inc,5006312000,14.6,3.84,297460000,1.67,1.25,2.22%
DNKN,Dunkin' Brands Group,8317901000,36.1,2.79,242020000,0.87,1.61,1.59%
DOC,Physicians Realty Trust,3523878000,15.66,0.45,74480000,0.81,0.92,5.43%
DY,Dycom Industries,2108697000,29.63,2.19,57220000,1.84,0,0.00%
EBS,Emergent Biosolutions,4804001000,19.13,4.77,54500000,1.4,0,0.00%
EGP,Eastgroup Properties,5339455000,25.24,3.08,121660000,0.78,3.16,2.33%
EHC,Encompass Health Corp,6296920000,22.7,2.96,358700000,0.8,1.12,1.77%
EME,Emcor Group,3641365000,11.07,5.78,325140000,1.07,0.32,0.48%
ENPH,Enphase Energy Inc,12950396000,142.79,0.67,161150000,0.95,0,0.00%
ENR,Energizer Holdings Inc,2706421000,14.81,2.65,51100000,1.26,1.2,3.04%
ENS,Enersys Inc,3017141000,16.18,4.3,137120000,1.57,0.7,0.99%
EPC,Edgewell Personal Care,1453996000,9.18,2.99,-372200000,0.72,0,0.00%
EPR,Entertainment Properties Trust,1801134000,5.42,0.43,202240000,1.49,0,0.00%
EQT,Eqt Corp,3979676000,0,-0.22,-1221700000,1.49,0,0.00%
ESNT,Essent Group Ltd,4445205000,8.38,4.63,555710000,1.36,0.64,1.62%
ETRN,Equitrans Midstream Corp,3148382000,2.58,2.86,-203740000,2.3,0.6,8.24%
EV,Eaton Vance Corp,6814986000,17.34,3.43,400040000,1.46,1.5,2.51%
EVR,Evercore Partners Inc,3239161000,11.91,6.57,297440000,1.79,2.32,2.91%
EWBC,East West Bancorp,5062404000,8.54,4.1,674040000,1.98,1.1,3.07%
EXEL,Exelixis Inc,6464196000,23.54,0.89,321010000,1.33,0,0.00%
EXP,Eagle Materials Inc,3583585000,13.54,6.13,70890000,1.29,0,0.00%
FAF,First American Corp,5161348000,8.76,5.22,707410000,1.05,1.76,3.81%
FCFS,First Cash Fin Svcs,2157780000,15.47,3.43,164620000,0.51,1.08,2.07%
FCN,Fti Consulting,3550081000,20.82,5.28,216730000,0.23,0,0.00%
FDS,Factset Research Systems Inc,11787329000,28.63,10.87,372940000,0.78,3.08,0.99%
FFIN,First Finl Bkshs Inc,4194294000,22.6,1.31,164810000,0.98,0.52,1.76%
FHI,Federated Investors,2278457000,7.66,2.96,272340000,1.21,1.08,4.75%
FHN,First Horizon National Corp,3232916000,9.35,1.07,440910000,1.5,0.6,5.80%
FICO,Fair Isaac and Company Inc,11409076000,51.74,7.54,192120000,1.09,0,0.00%
FIVE,Five Below Inc,7488411000,76.24,1.73,175060000,1.09,0,0.00%
FL,Footlocker Inc,3861423000,12.98,2.8,491000000,1.33,0.6,1.62%
FLO,Flowers Foods,5036151000,20.83,1.14,164540000,0.48,0.8,3.36%
FLR,Fluor Corp,1555136000,0,0.62,-1522160000,2.74,0,0.00%
FNB,F.N.B. Corp,2365868000,7.37,0.98,387000000,1.32,0.48,6.56%
FOXF,Fox Factory Cp,3621680000,34.09,2.5,93030000,1.93,0,0.00%
FR,First Industrial Realty Trust,5189101000,21.49,1.64,238780000,0.87,1,2.49%
FSLR,First Solar Inc,9267961000,19.98,3.51,-114930000,1.55,0,0.00%
FULT,Fulton Financial Cor,1752009000,9.45,1.11,226340000,0.9,0.52,4.81%
GATX,GATX Corp,2371950000,13.89,4.75,211200000,1.02,1.92,2.83%
GBCI,Glacier Bancorp Inc,3415642000,13.95,2.55,210540000,1.04,1.2,3.35%
GEF,Greif Bros. Corp,1981605000,10.9,3.68,171000000,1.14,1.76,4.30%
GEO,Geo Group Inc,1077446000,3.13,1.39,166600000,0.89,1.36,15.32%
GGG,Graco Inc,10364086000,33.52,1.82,343850000,0.58,0.7,1.13%
GHC,Graham Holdings Company,1979236000,13.45,29,327860000,0.94,5.8,1.50%
GMED,Globus Medical Inc,5130569000,37.03,1.28,155210000,0.97,0,0.00%
GNRC,Generac Holdings Inc,13598431000,36.92,5.23,252010000,1.02,0,0.00%
GNTX,Gentex Corp,6815479000,21.91,1.25,424680000,1.13,0.48,1.73%
GNW,Genworth Financial Inc,2062828000,11.44,0.32,343000000,1.18,0,0.00%
GO,Grocery Outlet Holding Corp,4084488000,36.55,1.21,15420000,-0.15,0,0.00%
GRUB,Grubhub Inc,6898703000,0,-0.6,-18570000,1.06,0,0.00%
GT,Goodyear Tire Rubber,2313800000,0,-1.83,-311000000,2.15,0,0.00%
HAE,Haemonetics Corp,5285371000,34.95,2.96,76530000,0.57,0,0.00%
HAIN,Hain Celestial Group,3221277000,38.79,0.85,-80410000,0.67,0,0.00%
HCSG,Healthcare Svcs Gp,1664121000,18.59,1.2,64580000,0.48,0.81,3.64%
HE,Hawaiian Electric Industries,3549474000,17.38,1.88,219770000,0.12,1.32,4.06%
HELE,Helen of Troy Ltd,4942568000,18.23,10.97,152330000,0.98,0,0.00%
HIW,Highwoods Properties,3126592000,8.18,3,136920000,0.96,1.92,6.38%
HNI,Hon Industries Inc,1434797000,14.99,2.24,110510000,1.11,1.22,3.63%
HOG,Harley-Davidson Inc,5190273000,24.01,1.06,423640000,1.52,0.08,0.24%
HOMB,Home Bancshares Inc,2697814000,8.92,1.81,289540000,1.54,0.52,3.18%
HPP,Hudson Pacific Properties,2953695000,9.27,0.56,44490000,0.71,1,5.19%
HQY,Healthequity,3951578000,38.58,1.35,39660000,1.44,0,0.00%
HR,Healthcare Realty Trust Inc,3856961000,16.88,0.81,39190000,0.52,1.2,4.23%
HRB,H&R Block,3429727000,8.04,2.12,-7530000,0.75,1.04,5.85%
HRC,Hill-Rom Holdings Inc,6183036000,15.08,6.05,152200000,0.63,0.88,0.95%
HUBB,Hubbell Inc B,7843538000,18.68,7.76,400900000,1.27,3.64,2.52%
HWC,Hancock Whitney Corp,1939466000,0,-0.68,327380000,1.55,1.08,4.81%
HXL,Hexcel Corp,2743323000,24.58,1.29,306600000,1.18,0,0.00%
IAA,Iaa Inc,7579188000,40.88,1.36,193200000,2.01,0,0.00%
IART,Integra Lifesciences,3649777000,19.16,2.17,50200000,1.02,0,0.00%
IBKR,Interactive Brokers,19902928000,20.28,2.37,161000000,0.77,0.4,0.84%
IBOC,Intl Bancshares,1722788000,9.75,2.74,205100000,1.29,1.1,4.04%
ICUI,I C U Medical Inc,3766745000,29.24,6.26,101040000,0.67,0,0.00%
IDA,Idacorp Inc,4449651000,19.08,4.64,232850000,0.46,2.68,3.04%
IDCC,Interdigital Inc,1751013000,45.65,1.23,20930000,1.15,1.4,2.46%
IIVI,I I V I Inc,4734476000,0,-0.88,-67030000,1.23,0,0.00%
INGR,Ingredion Inc,4797609000,11.86,6.14,413000000,0.73,2.56,3.57%
INT,World Fuel Services Corp,1232976000,7.83,2.44,178900000,1.16,0.4,2.06%
ITT,ITT Inc,5425056000,18.29,3.33,325100000,1.59,0.68,1.08%
JACK,Jack IN The Box Inc,1845535000,20.51,3.99,94440000,1.59,1.6,1.97%
JAZZ,Jazz Pharma Plc,8076493000,13.36,10.9,523370000,1.15,0,0.00%
JBGS,Jbg Smith Properties,3075832000,15.63,0.35,65570000,0.61,0.9,3.91%
JBL,Jabil Circuit,4960574000,54.5,0.58,53910000,1.25,0.32,0.96%
JBLU,Jetblue Airways Cp,3149245000,0,-1.29,569000000,1.44,0,0.00%
JCOM,J2 Global Inc,3215785000,10.04,6.72,218810000,0.79,0,0.00%
JEF,Jefferies Financial Group Inc,4929896000,8.6,2.22,964700000,1.4,0.6,3.11%
JHG,Janus Henderson Group Plc,4577940000,9.78,2.56,427600000,1.52,1.44,5.78%
JLL,Jones Lang Lasalle Inc,5856430000,9.19,11.06,535300000,1.57,0,0.00%
JWA,John Wiley Sons Cl A,1713162000,11.81,2.61,-74290000,0.69,1.37,4.48%
JWN,Nordstrom,1908985000,0,-1.62,496000000,1.52,0,0.00%
KAR,Kar Auction Services Inc,1835038000,19.31,0.71,188500000,1.52,0,0.00%
KBH,KB Home,3006061000,10.23,3.22,268780000,1.88,0.36,1.08%
KBR,KBR Inc,3144666000,13.27,1.69,202000000,1.32,0.4,1.81%
KEX,Kirby Corp,2278442000,15.2,2.39,142350000,1.31,0,0.00%
KMPR,Kemper Corp,4081228000,8.76,7.09,531100000,0.67,1.2,1.92%
KMT,Kennametal Inc,2544028000,32.06,0.95,-5660000,2.27,0.8,2.62%
KNX,Knight-Swift Transporation Inc,6386054000,16.13,2.35,309210000,1.21,0.32,0.85%
KRC,Kilroy Realty Corp,5418068000,12.32,1.62,195440000,0.69,2,4.25%
KSS,Kohl's Corp,3439495000,0,-0.72,691000000,1.67,0,0.00%
LAD,Lithia Motors,5950381000,15,15.57,271500000,1.84,1.24,0.53%
LAMR,Lamar Advertis A,6210904000,11.4,2.72,372110000,1.3,2,3.25%
LANC,Lancaster Colony Cor,4565910000,33.94,4.93,136980000,0.3,2.8,1.69%
LEA,Lear Corp,7484731000,29.78,4.11,753600000,1.66,0,0.00%
LECO,Lincoln Elec Hld,6025602000,24.69,4.04,293110000,1.23,1.96,1.93%
LFUS,Littelfuse Inc,4868641000,36.1,4.95,139080000,1.13,1.92,0.96%
LGND,Ligand Pharm,1335599000,45.88,1.84,629300000,1.44,0,0.00%
LHCG,LHC Group Inc,6779530000,48.23,4.39,95730000,0.57,0,0.00%
